dataset_id,regional,local,year,period,timepoints,regional_richness,local_richness
litza_2016,"Schleswig-Holstein, Germany",all_sites,1967,historical,T1,182,39
litza_2016,"Schleswig-Holstein, Germany",all_sites,2015,recent,T2,164,36
