year,regional_richness,local,local_richness,dataset_id,regional,timepoints
1992,57,LI1,20,larsen_2018a,Llyn Brianne,T7
1993,36,LI1,13,larsen_2018a,Llyn Brianne,T8
1995,52,LI1,15,larsen_2018a,Llyn Brianne,T9
1996,52,LI1,23,larsen_2018a,Llyn Brianne,T10
1997,53,LI1,18,larsen_2018a,Llyn Brianne,T11
1998,55,LI1,13,larsen_2018a,Llyn Brianne,T12
1999,53,LI1,17,larsen_2018a,Llyn Brianne,T13
2000,58,LI1,21,larsen_2018a,Llyn Brianne,T14
2001,54,LI1,14,larsen_2018a,Llyn Brianne,T15
2002,46,LI1,17,larsen_2018a,Llyn Brianne,T16
2003,43,LI1,13,larsen_2018a,Llyn Brianne,T17
2004,41,LI1,9,larsen_2018a,Llyn Brianne,T18
2005,46,LI1,7,larsen_2018a,Llyn Brianne,T19
2006,44,LI1,14,larsen_2018a,Llyn Brianne,T20
2007,51,LI1,14,larsen_2018a,Llyn Brianne,T21
2010,48,LI1,15,larsen_2018a,Llyn Brianne,T22
2012,57,LI1,14,larsen_2018a,Llyn Brianne,T23
2013,48,LI1,15,larsen_2018a,Llyn Brianne,T24
1985,56,LI2,15,larsen_2018a,Llyn Brianne,T1
1986,50,LI2,17,larsen_2018a,Llyn Brianne,T2
1987,43,LI2,16,larsen_2018a,Llyn Brianne,T3
1988,46,LI2,17,larsen_2018a,Llyn Brianne,T4
1989,41,LI2,15,larsen_2018a,Llyn Brianne,T5
1990,53,LI2,17,larsen_2018a,Llyn Brianne,T6
1992,57,LI2,21,larsen_2018a,Llyn Brianne,T7
1993,36,LI2,8,larsen_2018a,Llyn Brianne,T8
1995,52,LI2,16,larsen_2018a,Llyn Brianne,T9
1996,52,LI2,15,larsen_2018a,Llyn Brianne,T10
1997,53,LI2,18,larsen_2018a,Llyn Brianne,T11
1998,55,LI2,16,larsen_2018a,Llyn Brianne,T12
1999,53,LI2,14,larsen_2018a,Llyn Brianne,T13
2000,58,LI2,18,larsen_2018a,Llyn Brianne,T14
2001,54,LI2,9,larsen_2018a,Llyn Brianne,T15
2002,46,LI2,18,larsen_2018a,Llyn Brianne,T16
2003,43,LI2,13,larsen_2018a,Llyn Brianne,T17
2004,41,LI2,8,larsen_2018a,Llyn Brianne,T18
2005,46,LI2,12,larsen_2018a,Llyn Brianne,T19
2006,44,LI2,14,larsen_2018a,Llyn Brianne,T20
2007,51,LI2,13,larsen_2018a,Llyn Brianne,T21
2010,48,LI2,15,larsen_2018a,Llyn Brianne,T22
2012,57,LI2,17,larsen_2018a,Llyn Brianne,T23
2013,48,LI2,12,larsen_2018a,Llyn Brianne,T24
1985,56,LI4,15,larsen_2018a,Llyn Brianne,T1
1986,50,LI4,17,larsen_2018a,Llyn Brianne,T2
1987,43,LI4,19,larsen_2018a,Llyn Brianne,T3
1988,46,LI4,21,larsen_2018a,Llyn Brianne,T4
1989,41,LI4,19,larsen_2018a,Llyn Brianne,T5
1990,53,LI4,19,larsen_2018a,Llyn Brianne,T6
1992,57,LI4,18,larsen_2018a,Llyn Brianne,T7
1993,36,LI4,10,larsen_2018a,Llyn Brianne,T8
1995,52,LI4,14,larsen_2018a,Llyn Brianne,T9
1996,52,LI4,20,larsen_2018a,Llyn Brianne,T10
1997,53,LI4,13,larsen_2018a,Llyn Brianne,T11
1998,55,LI4,19,larsen_2018a,Llyn Brianne,T12
1999,53,LI4,20,larsen_2018a,Llyn Brianne,T13
2000,58,LI4,23,larsen_2018a,Llyn Brianne,T14
2001,54,LI4,15,larsen_2018a,Llyn Brianne,T15
2002,46,LI4,15,larsen_2018a,Llyn Brianne,T16
2003,43,LI4,18,larsen_2018a,Llyn Brianne,T17
2004,41,LI4,18,larsen_2018a,Llyn Brianne,T18
2005,46,LI4,18,larsen_2018a,Llyn Brianne,T19
2006,44,LI4,21,larsen_2018a,Llyn Brianne,T20
2007,51,LI4,19,larsen_2018a,Llyn Brianne,T21
2010,48,LI4,17,larsen_2018a,Llyn Brianne,T22
2012,57,LI4,29,larsen_2018a,Llyn Brianne,T23
2013,48,LI4,23,larsen_2018a,Llyn Brianne,T24
1985,56,LI6,27,larsen_2018a,Llyn Brianne,T1
1986,50,LI6,33,larsen_2018a,Llyn Brianne,T2
1987,43,LI6,33,larsen_2018a,Llyn Brianne,T3
1988,46,LI6,31,larsen_2018a,Llyn Brianne,T4
1989,41,LI6,26,larsen_2018a,Llyn Brianne,T5
1990,53,LI6,23,larsen_2018a,Llyn Brianne,T6
1992,57,LI6,19,larsen_2018a,Llyn Brianne,T7
1993,36,LI6,22,larsen_2018a,Llyn Brianne,T8
1995,52,LI6,39,larsen_2018a,Llyn Brianne,T9
1996,52,LI6,25,larsen_2018a,Llyn Brianne,T10
1997,53,LI6,35,larsen_2018a,Llyn Brianne,T11
1998,55,LI6,25,larsen_2018a,Llyn Brianne,T12
1999,53,LI6,29,larsen_2018a,Llyn Brianne,T13
2000,58,LI6,28,larsen_2018a,Llyn Brianne,T14
2001,54,LI6,38,larsen_2018a,Llyn Brianne,T15
2002,46,LI6,27,larsen_2018a,Llyn Brianne,T16
2003,43,LI6,24,larsen_2018a,Llyn Brianne,T17
2004,41,LI6,17,larsen_2018a,Llyn Brianne,T18
2005,46,LI6,27,larsen_2018a,Llyn Brianne,T19
2006,44,LI6,23,larsen_2018a,Llyn Brianne,T20
2007,51,LI6,24,larsen_2018a,Llyn Brianne,T21
2010,48,LI6,27,larsen_2018a,Llyn Brianne,T22
2012,57,LI6,33,larsen_2018a,Llyn Brianne,T23
2013,48,LI6,31,larsen_2018a,Llyn Brianne,T24
1985,56,LI7,37,larsen_2018a,Llyn Brianne,T1
1986,50,LI7,38,larsen_2018a,Llyn Brianne,T2
1987,43,LI7,30,larsen_2018a,Llyn Brianne,T3
1988,46,LI7,36,larsen_2018a,Llyn Brianne,T4
1989,41,LI7,31,larsen_2018a,Llyn Brianne,T5
1990,53,LI7,38,larsen_2018a,Llyn Brianne,T6
1992,57,LI7,43,larsen_2018a,Llyn Brianne,T7
1993,36,LI7,21,larsen_2018a,Llyn Brianne,T8
1995,52,LI7,28,larsen_2018a,Llyn Brianne,T9
1996,52,LI7,32,larsen_2018a,Llyn Brianne,T10
1997,53,LI7,37,larsen_2018a,Llyn Brianne,T11
1998,55,LI7,39,larsen_2018a,Llyn Brianne,T12
1999,53,LI7,27,larsen_2018a,Llyn Brianne,T13
2000,58,LI7,42,larsen_2018a,Llyn Brianne,T14
2001,54,LI7,34,larsen_2018a,Llyn Brianne,T15
2002,46,LI7,37,larsen_2018a,Llyn Brianne,T16
2003,43,LI7,28,larsen_2018a,Llyn Brianne,T17
2004,41,LI7,31,larsen_2018a,Llyn Brianne,T18
2005,46,LI7,36,larsen_2018a,Llyn Brianne,T19
2006,44,LI7,32,larsen_2018a,Llyn Brianne,T20
2007,51,LI7,31,larsen_2018a,Llyn Brianne,T21
2010,48,LI7,29,larsen_2018a,Llyn Brianne,T22
