copy pasted from supplementary .doc document,,,,,,,,,,
"Biblis hyperia aganisa   Boisduval, 1836",37,56,low altitude,,,,,,,
"Caligo oileus (Boisduval, 1870)",8,0,low altitude,,,,,,,
"Caligo telamonius memnon   (C. Felder & R. Felder, 1867)",15,11,low altitude,,,,,,,
"Caligo uranus   Herrich-Schäffer, 1850",0,10,low altitude,,,,,,,
"Callicore astarte casta   (Salvin, 1869)",8,17,low altitude,,,,,,,
"Callicore lyca lyca   (Doubleday, [1847])",3,3,low altitude,,,,,,,
"Castilia eranites (Hewitson, 1857)",20,26,low altitude,,,,,,,
"Castilia griseobasalis   (Röber, 1913)",0,5,low altitude,,,,,,,
"Castilia myia   (Hewitson, [1864])",33,6,low altitude,,,,,,,
"Catonephele mexicana   Jenkins & R.G. Maza, 1985",73,25,low altitude,,,,,,,
"Catonephele numillia esite (R. Felder, 1869)",34,15,low altitude,,,,,,,
"Cepheuptychia glaucina (H. Bates, 1864)",12,0,low altitude,,,,,,,
"Chloreuptychia sericeella (H. Bates, 1864)",73,0,low altitude,,,,,,,
"Chlosyne erodyle  (H. Bates, 1864)",2,0,low altitude,,,,,,,
"Chlosyne gaudialis gaudialis (H. Bates, 1864)",1,0,low altitude,,,,,,,
"Chlosyne hippodrome hippodrome   (Geyer, 1837)",0,15,low altitude,,,,,,,
"Chlosyne janais janais   (Drury, 1782)",29,7,low altitude,,,,,,,
"Chlosyne lacinia lacinia   (Geyer, 1837)",37,310,low altitude,,,,,,,
"Chlosyne theona theona  Ménétriés, 1855)",10,0,low altitude,,,,,,,
"Cissia labe (Butler, 1870)",96,0,low altitude,,,,,,,
"Cissia pompilia   (C.Felder & R. Felder, 1867)",159,16,low altitude,,,,,,,
"Cissia terrestris (Butler, 1867)",8,135,low altitude,,,,,,,
"Colobura dirce dirce (Linnaeus, 1758)",18,0,low altitude,,,,,,,
"Consul electra electra (Westwood, 1850)",14,2,low altitude,,,,,,,
"Consul fabius cecrops  (Doubleday, [1849])",18,12,low altitude,,,,,,,
"Cyllopsis hedemanni hedemanni   R. Felder, 1869",5,0,low altitude,,,,,,,
"Danaus eresimus montezuma Talbot, 1943",1,4,low altitude,,,,,,,
"Danaus gilippus thersippus  (H.W. Bates, 1863)",2,7,low altitude,,,,,,,
"Danaus plexippus plexippus  (Linnaeus, 1758)",4,6,low altitude,,,,,,,
"Diaethria anna anna  (Guérin-Ménéville, [1844])",281,0,low altitude,,,,,,,
"Dione juno huascuma   (Reakirt, 1866)",22,16,low altitude,,,,,,,
"Dircenna klugii (Geyer, 1837)",51,0,low altitude,,,,,,,
"Doxocopa pavon theodora   (Lucas, 1857)",1,0,low altitude,,,,,,,
"Dryadula phaetusa (Linnaeus, 1758)",1,0,low altitude,,,,,,,
"Dryas iulia moderata   (Riley, 1926)",24,116,low altitude,,,,,,,
"Dynamine artemisia (Fabricius,1793)",0,9,low altitude,,,,,,,
"Dynamine postverta mexicana  d´Almeida, 1952 ",45,49,low altitude,,,,,,,
"Eresia clio clio   (Linnaeus, 1758)",23,1,low altitude,,,,,,,
"Eresia phillyra phillyra   Hewitson, 1852",75,15,low altitude,,,,,,,
"Eryphanis aesacus (Herrich-Schäffer, 1850)",1,0,low altitude,,,,,,,
"Eueides aliphera gracilis   Stichel, 1903",18,16,low altitude,,,,,,,
"Eueides isabella eva   (Fabricius, 1793)",13,22,low altitude,,,,,,,
"Eueides lineata   Salvin & Godman, 1868",6,0,low altitude,,,,,,,
"Eunica monima  (Stoll, 1782)",0,4,low altitude,,,,,,,
"Euptoieta hegesia meridiania Stichel, 1938",9,12,low altitude,,,,,,,
"Euptychia westwoodi   Butler, 1867",0,12,low altitude,,,,,,,
"Fountainea eurypyle confuse   (A. Hall, 1929)",82,11,low altitude,,,,,,,
"Fountaynea glycerium glycerium (E. Doubleday, [1849]) ",42,0,low altitude,,,,,,,
"Fountaynea halice martinezi (J. De la Maza & Díaz, 1978)",1,0,low altitude,,,,,,,
"Godyris nero nero   (Hewitson, [1855])",0,2,low altitude,,,,,,,
"Greta morgane oto  (Hewitson, [1855])",11,3,low altitude,,,,,,,
"Hamadryas amphinome mexicana   (Lucas, 1853)",9,40,low altitude,,,,,,,
"Hamadryas februa ferentina   (Godart, [1824])",12,15,low altitude,,,,,,,
"Hamadryas feronia farinulenta   (Fruhstorfer, 1916)",83,34,low altitude,,,,,,,
"Hamadryas glauconome glauconome   (H.W. Bates, 1864)",0,21,low altitude,,,,,,,
"Hamadryas guatemalena guatemalena  (H.W. Bates, 1864)",21,0,low altitude,,,,,,,
"Hamadryas iphtime joannae   Jenkins, 1983",59,2,low altitude,,,,,,,
"Hamadryas laodamia saurites  (Fruhstorfer, 1916)",1,14,low altitude,,,,,,,
"Heliconius charithonia vazquezae   W.P. Comstock & F.M. Brown, 1950",13,196,low altitude,,,,,,,
"Heliconius erato petiverana   Doubleday, 1847",4,21,low altitude,,,,,,,
"Heliconius hecalesia octavia   H.W. Bates, 1866",4,0,low altitude,,,,,,,
"Heliconius hortense   Guérin-Méneville, [1844]",65,0,low altitude,,,,,,,
"Heliconius ismenius telchinia  Doubleday, 1847",63,28,low altitude,,,,,,,
"Hermeuptychia hermes  (Fabricius, 1775)",470,70,low altitude,,,,,,,
"Historis acheronta acheronta (Fabricius, 1775)",1,1,low altitude,,,,,,,
"Historis odius dious   Lamas, 1995",16,3,low altitude,,,,,,,
"Hypoleria lavinia cassotis (H. Bates, 1864)",1,0,low altitude,,,,,,,
"Hypothyris lycaste dionaea  (Hewitson, 1854)",4,0,low altitude,,,,,,,
"Ithomia patilla   Hewitson, 1852",75,8,low altitude,,,,,,,
"Junonia coenia coenia Hüber, [1822] ",4,0,low altitude,,,,,,,
"Junonia evarete nigrosuffusa Barnes & McDunnough, 1916",0,3,low altitude,,,,,,,
"Laparus doris viridis  (Staudinger, 1885)",39,14,low altitude,,,,,,,
"Libytheana carinenta mexicana   Michener, 1943",10,5,low altitude,,,,,,,
"Lycorea halia atergatis  Doubleday, [1847]",8,1,low altitude,,,,,,,
"Magneuptychia libye   (Linnaeus, 1767)",24,9,low altitude,,,,,,,
"Marpesia chiron marius   (Cramer, 1779)",17,43,low altitude,,,,,,,
"Marpesia harmonia   (Klug, 1836)",11,20,low altitude,,,,,,,
"Marpesia petreus   (Cramer, 1776)",1,10,low altitude,,,,,,,
"Mechanitis polymnia lycidice   H.W. Bates, 1864",49,9,low altitude,,,,,,,
"Melete lycimnia isandra (Boisduval, 1836)",6,0,low altitude,,,,,,,
"Melinaea lilis flavicans   C. Hoffmann, 1924",3,0,low altitude,,,,,,,
"Memphis moruus boisduvali   (W.P. Comstock, 1961)",5,0,low altitude,,,,,,,
"Memphis philumena xenica (H. Bates, 1864)",13,0,low altitude,,,,,,,
"Memphis pithyusa pithyusa   (R. Felder, 1869)",2,1,low altitude,,,,,,,
"Mestra dorcas amymone   (Ménétriés, 1857)",7,2,low altitude,,,,,,,
"Morpho helenor montezuma   Guenée, 1859",20,121,low altitude,,,,,,,
"Morpho theseus oaxacensis  Le Moult & Réal, 1962",0,22,low altitude,,,,,,,
"Myscelia cyaniris cyaniris   Doubleday, [1848]",1,0,low altitude,,,,,,,
"Myscelia ethusa ethusa (Doyère, [1840]) ",3,0,low altitude,,,,,,,
"Napeogenes tolosa tolosa (Hewitson, 1855)",8,0,low altitude,,,,,,,
"Nica flavilla bachiana   (R.G. Maza & J. Maza, 1985)",13,0,low altitude,,,,,,,
"Oleria victorine paula  (Weymer, 1883)",40,0,low altitude,,,,,,,
