dataset_id,regional,local,year,period,realm,taxon,latitude,longitude,effort,study_type,alpha_grain,alpha_grain_unit,alpha_grain_type,alpha_grain_comment,gamma_sum_grains,gamma_sum_grains_unit,gamma_sum_grains_type,gamma_sum_grains_comment,gamma_bounding_box,gamma_bounding_box_unit,gamma_bounding_box_type,gamma_bounding_box_comment,comment
zeni_2020,"Sao Paulo state, Brazil",all_sites,2003,historical,Freshwater,Fish,-20.470351,-50.264952,38,ecological_sampling,144,m2,sample,sampled area: 'Average of stream width multiplied by the extension (75 meters)',5472,m2,sample,sum of individual sampled areas,12800,km2,box,coarse area of a box covering all sites,"Extracted from https://doi.org/10.1007/s10750-020-04356-1 . Methods: 'We sampled 38 stream reaches in the Sao Jose dos Dourados and Turvo-Grande river basins of Sao Paulo state, southeastern Brazil, in both 2003 and 2013.[...]Streams were surveyed once per year during the dry season (May–August). We used the same methodology to sample fish assemblages in both periods[...]We collected 46 and 44 species in 2003 and 2013, respectively, and stream reach alpha diversity (local species richness) was not different between years (2003: mean = 10.42 ± SD 3.81 and 2013: mean = 9.26 ± SD 3.65; t = 1.35, P value = 0.18).'"
zeni_2020,"Sao Paulo state, Brazil",all_sites,2013,recent,Freshwater,Fish,-20.470351,-50.264952,38,ecological_sampling,118.5,m2,sample,sampled area: 'Average of stream width multiplied by the extension (75 meters)',4503,m2,sample,sum of individual sampled areas,12800,km2,box,coarse area of a box covering all sites,"Extracted from https://doi.org/10.1007/s10750-020-04356-1 . Methods: 'We sampled 38 stream reaches in the Sao Jose dos Dourados and Turvo-Grande river basins of Sao Paulo state, southeastern Brazil, in both 2003 and 2013.[...]Streams were surveyed once per year during the dry season (May–August). We used the same methodology to sample fish assemblages in both periods[...]We collected 46 and 44 species in 2003 and 2013, respectively, and stream reach alpha diversity (local species richness) was not different between years (2003: mean = 10.42 ± SD 3.81 and 2013: mean = 9.26 ± SD 3.65; t = 1.35, P value = 0.18).'"
