dataset_id,regional,year,period,timepoints,regional_richness,local_richness
alignier_2018,"Zone Atelier Armorique, France",1994,historical,T1,308,28.31
alignier_2018,"Zone Atelier Armorique, France",2015,recent,T2,284,31.89
