dataset_id,regional,local,year,period,timepoints,regional_richness,local_richness
becker-scarpitta_2017a,"Brotonne forest, France",all_subplots,1976,historical,T1,18,3.3
becker-scarpitta_2017a,"Brotonne forest, France",all_subplots,2012,recent,T2,53,6.8
