dataset_id,regional,local,year,period,timepoints,regional_richness,local_richness
hassall_2012b,"Cheshire, England",all_sites,1995,historical,T1,181,29.5
hassall_2012b,"Cheshire, England",all_sites,2006,recent,T2,201,39.8
