dataset_id,regional,local,year,period,timepoints,regional_richness,local_richness
hassall_2012a,"Cheshire, England",all_sites,1995,historical,T1,149,23.5
hassall_2012a,"Cheshire, England",all_sites,2006,recent,T2,142,22.3
