dataset_id,year,period,timepoints,regional,regional_richness,local,local_richness
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,CI4,17
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,CI4,19
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,CI4,16
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,CI4,18
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,CI4,26
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,CI4,16
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,CI4,9
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,CI4,10
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,CI4,20
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,CI4,23
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,CI4,16
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,CI4,17
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,CI4,18
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,CI4,13
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,CI4,17
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,CI4,19
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,CI4,16
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,CI4,16
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,CI4,9
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,CI4,17
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,CI4,15
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,CI4,26
larsen_2018a,2013,last,24,Llyn Brianne,48,CI4,15
larsen_2018a,1985,first,1,Llyn Brianne,56,CI5,22
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,CI5,15
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,CI5,22
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,CI5,27
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,CI5,22
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,CI5,19
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,CI5,19
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,CI5,7
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,CI5,26
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,CI5,22
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,CI5,24
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,CI5,23
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,CI5,19
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,CI5,24
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,CI5,15
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,CI5,17
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,CI5,12
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,CI5,8
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,CI5,18
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,CI5,18
